Year,Month,Day,Estimated DGSR
1989,11,21,21.60714275
1989,11,22,24.82057123
1989,11,23,29.34700627
1989,11,24,29.28962397
1989,11,25,29.87534744
1989,11,26,30.5496147
1989,11,27,29.98433257
1989,11,28,30.27093497
1989,11,29,30.74311879
1989,11,30,22.39005859
1989,12,1,25.76356107
1989,12,2,26.52978398
1989,12,3,13.41208184
1989,12,4,27.81823941
1989,12,5,32.1750477
1989,12,6,31.03329074
1989,12,7,30.49576483
1989,12,8,21.08481245
1989,12,9,23.55494319
1989,12,10,20.9422783
1989,12,11,31.67248317
1989,12,12,16.53262582
1989,12,13,27.99858926
1989,12,14,24.53837294
1989,12,15,31.71073441
1989,12,16,27.85121831
1989,12,17,25.34968889
1989,12,18,23.70461943
1989,12,19,22.9311792
1989,12,20,22.82873576
1989,12,21,13.83466046
1989,12,22,24.92742845
1989,12,23,25.90007165
1989,12,24,16.3430414
1989,12,25,16.9035525
1989,12,26,32.88878843
1989,12,27,31.55576336
1989,12,28,31.34904733
1989,12,29,23.5599739
1989,12,30,30.99902766
1989,12,31,19.91859122
1990,1,1,24.30271821
1990,1,2,26.79250186
1990,1,3,31.06026032
1990,1,4,27.28146589
1990,1,5,33.87866534
1990,1,6,31.31019106
1990,1,7,31.04620288
1990,1,8,24.76213113
1990,1,9,15.93335881
1990,1,10,31.03112231
1990,1,11,25.66378627
1990,1,12,31.21194851
1990,1,13,30.04636552
1990,1,14,28.66106632
1990,1,15,22.0489381
1990,1,16,10.07791896
1990,1,17,19.8218647
1990,1,18,24.67034375
1990,1,19,29.5688368
1990,1,20,29.68264879
1990,1,21,28.80139582
1990,1,22,27.91143195
1990,1,23,28.84408628
1990,1,24,30.60275284
1990,1,25,17.28741574
1990,1,26,9.677017591
1990,1,27,26.76824631
1990,1,28,16.19772002
1990,1,29,8.863182016
1990,1,30,8.733385043
1990,1,31,24.62868515
1990,2,1,25.96528528
1990,2,2,21.06029312
1990,2,3,15.90997372
1990,2,4,8.547134484
1990,2,5,20.71206291
1990,2,6,22.10034287
1990,2,7,24.05726058
1990,2,8,8.067431385
1990,2,9,21.10720655
1990,2,10,15.88682328
1990,2,11,21.54986626
1990,2,12,9.457678357
1990,2,13,18.39460225
1990,2,14,10.60118513
1990,2,15,19.72910194
1990,2,16,20.19041211
1990,2,17,20.3452081
1990,2,18,19.2519789
1990,2,19,18.34837061
1990,2,20,18.20904888
1990,2,21,16.66181809
1990,2,22,14.80094879
1990,2,23,10.75937954
1990,2,24,9.046249625
1990,2,25,5.822049087
1990,2,26,7.570400678
1990,2,27,3.941527612
1990,2,28,5.619588423
1990,3,1,13.27764674
1990,3,2,9.221672889
1990,3,3,7.324998817
1990,3,4,9.965011638
1990,3,5,5.858375233
1990,3,6,3.144528779
1990,3,7,4.177793151
1990,3,8,14.40270356
1990,3,9,5.136199942
1990,3,10,3.99427891
1990,3,11,8.550186045
1990,3,12,11.09606895
1990,3,13,3.966113299
1990,3,14,4.916763544
1990,3,15,5.372259253
1990,3,16,3.580704993
1990,3,17,8.221693134
1990,3,18,3.448637911
1990,3,19,3.201788652
1990,3,20,3.86093609
1990,3,21,3.719046458
1990,3,22,8.359256165
1990,3,23,7.252024246
1990,3,24,4.560088662
1990,3,25,3.385673541
1990,3,26,3.148316282
1990,3,27,2.803000729
1990,3,28,3.091418241
1990,3,29,4.892403968
1990,3,30,2.877126175
1990,3,31,4.88901117
1990,4,1,4.812194029
1990,4,2,3.6902703
1990,4,3,2.685805207
1990,4,4,5.030824266
1990,4,5,2.576211399
1990,4,6,4.149075713
1990,4,7,3.783518452
1990,4,8,3.176237
1990,4,9,3.110499625
1990,4,10,3.501478707
1990,4,11,2.898600251
1990,4,12,2.228676042
1990,4,13,2.608295416
1990,4,14,1.436925182
1990,4,15,1.512788002
1990,4,16,2.685814191
1990,4,17,1.918598064
1990,4,18,1.409493067
1990,4,19,2.059752628
1990,4,20,1.143462613
1990,4,21,0.255015501
1990,4,22,1.154410809
1990,4,23,1.144395155
1990,4,24,1.016523874
1990,4,25,1.519108953
1990,4,26,-0.570900106
1990,4,27,-1.452979096
1990,4,28,4.780069586
1990,4,29,6.166895816
1990,4,30,0.638837053
1990,5,1,0.943988794
1990,5,2,0.375179459
1990,5,3,0.697199995
1990,5,4,0.691613309
1990,5,5,0.335028358
1990,5,6,0.164068373
1990,5,7,0.680609079
1990,5,8,0.75778258
1990,5,9,0.697574228
1990,5,10,0.566884573
1990,5,11,0.203858333
1990,5,12,0.147216395
1990,5,13,0.110796736
1990,5,14,0.198460323
1990,5,15,0.186834606
1990,5,16,-1.317106189
1990,5,17,0.011786637
1990,5,18,-0.383995406
1990,5,19,-0.038862156
1990,5,20,0.202740626
1990,5,21,0.10763772
1990,5,22,0.176447758
1990,5,23,-0.041237273
1990,5,24,-0.029815419
1990,5,25,0.147146413
1990,5,26,0.062335951
1990,7,18,-0.044038654
1990,7,19,-0.052605169
1990,7,20,-0.004544172
1990,7,21,-0.014678904
1990,7,22,0.308413259
1990,7,23,0.045904479
1990,7,24,0.081902771
1990,7,25,0.646620984
1990,7,26,0.231629189
1990,7,27,0.470272678
1990,7,28,0.266024724
1990,7,29,0.240478236
1990,7,30,0.140919723
1990,7,31,0.245112277
1990,8,1,0.372548582
1990,8,2,0.300166652
1990,8,3,0.211659758
1990,8,4,0.376142516
1990,8,5,0.384031082
1990,8,6,0.587730798
1990,8,7,0.481190072
1990,8,8,0.773157651
1990,8,9,0.435065138
1990,8,10,0.588065351
1990,8,11,0.495354231
1990,8,12,0.247007128
1990,8,13,0.638057777
1990,8,14,0.88091758
1990,8,15,0.737348021
1990,8,16,0.749607245
1990,8,17,0.984868803
1990,8,18,1.154632272
1990,8,19,1.139058853
1990,8,20,1.13304598
1990,8,21,1.862831684
1990,8,22,2.050726866
1990,8,23,1.633137237
1990,8,24,1.193818856
1990,8,25,1.61408321
1990,8,26,2.659971809
1990,8,27,3.00564431
1990,8,28,2.056900433
1990,8,29,3.437560749
1990,8,30,3.641373882
1990,8,31,3.629133252
1990,9,1,3.399671908
1990,9,2,3.54371993
1990,9,3,3.896032089
1990,9,4,4.255600853
1990,9,5,4.524229157
1990,9,6,4.191139777
1990,9,7,5.258355016
1990,9,8,5.229418635
1990,9,9,5.437538794
1990,9,10,4.86254189
1990,9,11,3.382131338
1990,9,12,4.217341075
1990,9,13,4.438141704
1990,9,14,3.326567567
1990,9,15,4.313810528
1990,9,16,4.776274426
1990,9,17,6.730716373
1990,9,18,5.260728726
1990,9,19,5.280372544
1990,9,20,5.341497974
1990,9,21,7.38500221
1990,9,22,7.443684779
1990,9,23,5.683503413
1990,9,24,8.051605579
1990,9,25,6.396253958
1990,9,26,8.973424015
1990,9,27,9.734678469
1990,9,28,10.63191494
1990,9,29,9.967293227
1990,9,30,10.9289884
1990,10,1,12.6174611
1990,10,2,10.09746895
1990,10,3,12.52161578
1990,10,4,7.192216618
1990,10,5,10.87733586
1990,10,6,10.44745639
1990,10,7,12.44955487
1990,10,8,13.0357016
1990,10,9,11.54811272
1990,10,10,13.05406777
1990,10,11,7.853311337
1990,10,12,8.584601302
1990,10,13,13.79336286
1990,10,14,14.39690725
1990,10,15,14.87793849
1990,10,16,14.95965635
1990,10,17,16.08494464
1990,10,18,16.05191586
